0 14 122 85
10000 22 168 92
20000 18 203 72
30000 33 196 117
40000 17 222 91
50000 18 231 105
60000 41 236 225
70000 18 276 93
80000 17 286 149
90000 16 374 169
100000 17 324 180
110000 18 319 192
120000 18 331 471
130000 62 395 164
140000 19 375 173
150000 21 361 198
160000 19 446 197
170000 22 415 198
180000 18 412 199
190000 18 466 218
200000 16 434 217
210000 19 485 219
220000 21 462 221
230000 19 484 230
240000 24 499 222
250000 20 465 1515
260000 117 522 183
270000 22 456 186
280000 20 446 234
290000 22 527 184
300000 20 484 196
310000 23 533 211
320000 18 540 212
330000 21 646 222
340000 21 537 231
350000 25 638 214
360000 20 528 223
370000 18 535 216
380000 23 573 246
390000 21 643 232
400000 18 545 239
410000 18 560 237
420000 19 589 254
430000 21 648 234
440000 18 582 260
450000 23 589 240
460000 20 614 254
470000 23 636 265
480000 20 597 248
490000 18 609 254
500000 20 601 306
510000 21 646 252
520000 167 607 3855
530000 21 632 209
540000 35 609 192
550000 20 593 202
560000 19 613 197
570000 21 567 213
580000 24 665 193
590000 22 621 192
600000 26 606 198
610000 21 607 212
620000 22 697 214
630000 22 691 239
640000 21 673 209
650000 18 643 215
660000 21 635 222
670000 18 754 216
680000 18 659 239
690000 20 628 216
700000 21 692 211
710000 31 718 223
720000 20 653 227
730000 20 698 233
740000 21 737 226
750000 19 674 247
760000 22 679 236
770000 18 697 235
780000 21 764 228
790000 22 695 227
800000 21 705 236
810000 20 779 244
820000 19 687 246
830000 18 713 253
840000 25 695 283
850000 21 713 237
860000 18 753 248
870000 21 705 242
880000 18 757 249
890000 15 724 246
900000 22 709 241
910000 18 762 242
920000 17 709 264
930000 22 731 246
940000 18 726 283
950000 21 710 245
960000 21 825 263
970000 21 728 260
980000 18 706 256
990000 21 806 276
1000000 22 733 271
1010000 17 702 273
1020000 20 757 273
1030000 19 757 257
1040000 369 713 265
1050000 22 723 8819
1060000 25 745 195
1070000 21 707 187
1080000 21 711 203
1090000 22 736 191
1100000 21 685 236
1110000 22 747 199
1120000 18 806 189
1130000 18 722 210
1140000 22 738 190
1150000 21 745 212
1160000 22 777 212
1170000 21 751 195
1180000 17 727 201
1190000 19 809 197
1200000 22 756 195
1210000 21 708 204
1220000 19 762 238
1230000 22 750 195
1240000 18 730 215
1250000 20 802 206
1260000 21 851 216
1270000 18 793 208
1280000 19 772 218
1290000 21 829 247
1300000 18 804 211
1310000 19 789 212
1320000 21 854 218
1330000 21 794 226
1340000 16 846 225
1350000 21 824 218
1360000 21 782 226
